Article;Article URL;Question;Answer
Shibboleth Authentication Request;https://link-springer-com.ucd.idm.oclc.org/article/10.1007/s10814-021-09157-1#Sec22;\{\{0:None\}\};None
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;The US is leading calls for an agreement at the Organisation for Economic Co-operation and Development (OECD) on a major overhaul of \{\{0:corporate tax rules\}\}, a process which threatens \{\{1:Irish tax revenue\}\} and also the use of a low tax regime to attract \{\{2:multinationals\}\}.;corporate tax rules, Irish tax revenue, multinationals
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;The Minister for Finance Paschal Donohoe, will attend the meeting, which starts on Friday, in his role as president of the Eurogroup of finance ministers and will discuss \{\{0:corporate tax\}\} at a \{\{1:bilateral meeting\}\} on Saturday with \{\{2:US treasury secretary\}\}, Janet Yellen.;corporate tax, bilateral meeting, US treasury secretary
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;"
UK focus
Mr Sunak, has underlined the UK’s focus on the part of \{\{0:the global \{\{1:tax\}\} reform agenda\}\} relating to \{\{2:big multinationals\}\} paying tax in markets where they sell via the imposition of a digital sales tax.";the global tax reform agenda, tax, big multinationals
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;This would reduce the amount of tax which some big players pay in Ireland with the Department of \{\{1:Finance\}\} pencilling in a possible revenue loss of up to €2 billion per annum, out of \{\{2:total corporate tax revenue\}\} of almost €12 billion.;part, Finance, total corporate tax revenue
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;The ministers look certain to signal support for a deal and reports on Thursday evening pointed to efforts to achieve a breakthrough on key details, including \{\{0:a global minimum \{\{1:corporate tax\}\} rate\}\} of 15 per cent, above the Republic’s 12.5 per \{\{2:cent rate\}\}.;a global minimum corporate tax rate, corporate tax, cent rate
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;"Photograph: Hollie Adams/EPA
Finance ministers from the main industrialised countries are set to discuss a deal on the reform of \{\{0:the global \{\{1:corporate tax\}\} system\}\} , including a minimum tax rate for \{\{2:multinationals\}\}, at a G7 meeting in London this weekend.";the global corporate tax system, corporate tax, multinationals
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;"Donohoe to meet with \{\{0:US treasury secretary\}\} at \{\{1:bilateral meeting\}\} on \{\{2:Saturday\}\}
";US treasury secretary, bilateral meeting, Saturday
G7 ministers to discuss far-reaching deal on corporate tax;https://www.irishtimes.com/business/economy/g7-ministers-to-discuss-far-reaching-deal-on-corporate-tax-1.4583263;The ante has been upped ahead of the meeting by a decision by the \{\{0:US\}\} to apply tariffs on $2 billion of imports from Austria, India, Italy, Spain, Turkey and the UK in retaliation for these countries implementing their own digital services taxes on \{\{2:US multinationals\}\}.;US, tax, US multinationals
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;Nowadays \{\{0:UN peacekeeping operations\}\} are often subcontracted out to \{\{1:Nato\}\} or the \{\{2:EU\}\}.;UN peacekeeping operations, Nato, EU
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;In 1999 Ireland joined the \{\{0:Nato\}\} partnership for peace and more recently we have engaged with moves towards \{\{2:closer European defence arrangements\}\}.;Nato, part, closer European defence arrangements
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;"\{\{0:Close defence co\}\}-\{\{1:operation\}\} with our fellow \{\{2:EU\}\} member states is an important statement of the nation’s values and is also vital for its future security
";Close defence co, operation, EU
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;The answer to both is that close \{\{0:defence co\}\}-\{\{1:operation\}\} with our fellow \{\{2:EU\}\} member states is an important statement of the nation’s values and is also vital for its future security.;defence co, operation, EU
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;The Department of Foreign Affairs in its submission to the Commission on \{\{0:Defence\}\} has stressed that closer co-\{\{1:operation\}\} with the European Defence Agency and \{\{2:Nato\}\} is increasingly important.;Defence, operation, Nato
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;The need for a full public discussion about these issues is long overdue so that the debate is not hijacked by small vocal groups who oppose any form of \{\{0:defence co\}\}-\{\{2:operation\}\} with our neighbours.;defence co, -, operation
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;"Polls show majority of \{\{0:voters\}\} in \{\{1:favour\}\} of \{\{2:closer EU defence and security arrangements\}\}
";voters, favour, closer EU defence and security arrangements
Stephen Collins: What price Irish neutrality in today's world?;https://www.irishtimes.com/opinion/stephen-collins-what-price-irish-neutrality-in-today-s-world-1.4583398;A number of \{\{0:recent opinion polls\}\} have shown a clear majority of voters in \{\{1:favour\}\} of \{\{2:closer EU defence and security arrangements\}\}.;recent opinion polls, favour, closer EU defence and security arrangements
